"","Identificacion","Familia","Departamento","Genero","Edad","Parentesco","Estado.civil","Nivel.educativo.alcanzado","Empleo.antes","Rama.actividad","tiempo.en.colombia","Horas.disponibles","ocupacion","Factor.de.expansion","Ingresos_total"
"230","4810156-1-1","4810156 - 1","54","Femenino","(26,59]","Jefe de hogar","Soltero","Básica primaria","Si","Curtido y preparado de cueros, trabajar con cuero","Entre 1 y 5 años","(39,48]","No asalariado",599.55171517118,519000
"231","4810157-1-4","4810157 - 1","54","Femenino","(26,59]","Nucleo familiar","Casado y/o union libre","Media (10o -13o)","Si","Curtido y preparado de cueros, trabajar con cuero","Entre 1 y 5 años","(0,39]","No asalariado",550.647174064573,0
"232","4810157-1-5","4810157 - 1","54","Masculino","(26,59]","Otros parientes","Casado y/o union libre","Media (10o -13o)","Si","Curtido y preparado de cueros, trabajar con cuero","Entre 1 y 5 años","(48,130]","No asalariado",550.647174064573,0
"233","4810157-1-10","4810157 - 1","54","Masculino","(26,59]","Nucleo familiar","Casado y/o union libre","Básica primaria","Si","Comercio al por mayor y al por menor","Menos de 1 año","(48,130]","No asalariado",550.647174064573,0
"234","4810157-1-11","4810157 - 1","54","Femenino","(26,59]","Otros parientes","Casado y/o union libre","Media (10o -13o)","Si","Otras actividades de servicios","Menos de 1 año","(0,39]","No asalariado",550.647174064573,93420
"235","4810160-1-1","4810160 - 1","54","Masculino","(26,59]","Jefe de hogar","Casado y/o union libre","Media (10o -13o)","Si","Fabricación de muebles / industrias manufactureras","Entre 1 y 5 años","(48,130]","No asalariado",253.531971377565,830400
"236","4810160-1-2","4810160 - 1","54","Femenino","(26,59]","Nucleo familiar","Casado y/o union libre","Básica secundaria","Si","Hogares privados con servicio doméstico","Entre 1 y 5 años","(48,130]","Asalariado",253.531971377565,207600
"237","4810160-1-4","4810160 - 1","54","Masculino","(26,59]","Otros parientes","Casado y/o union libre","Media (10o -13o)","Si","Fabricación de muebles / industrias manufactureras","Entre 1 y 5 años","(48,130]","Asalariado",253.531971377565,674700
"238","4810162-1-1","4810162 - 1","54","Masculino","(26,59]","Jefe de hogar","Soltero","Básica secundaria","Si","Construcción","Entre 1 y 5 años","(48,130]","No asalariado",361.554631228492,934200
"239","4810199-1-2","4810199 - 1","63","Masculino","(26,59]","Nucleo familiar","Separado y/o viudo","Básica secundaria","Si","Transporte por vía terrestre; transporte por tuberías","Entre 1 y 5 años","(48,130]","No asalariado",135.388512972518,726600
"240","4810250-1-1","4810250 - 1","66","Femenino","(26,59]","Jefe de hogar","Separado y/o viudo","Media (10o -13o)","Si","Otras actividades empresariales","Menos de 1 año","(48,130]","No asalariado",227.969450694459,103800
"241","4810250-1-2","4810250 - 1","66","Femenino","(26,59]","Nucleo familiar","Soltero","Media (10o -13o)","Si","Actividades complementarias/auxiliares al transporte","Entre 1 y 5 años","(48,130]","Asalariado",227.969450694459,902492.214
"242","4810250-1-3","4810250 - 1","66","Masculino","(18,26]","Otros No parientes","Soltero","Media (10o -13o)","No","Servicios sociales y de salud","Menos de 1 año","(39,48]","No asalariado",227.969450694459,726600
"243","4810251-1-1","4810251 - 1","66","Masculino","(26,59]","Jefe de hogar","Soltero","Superior o universitaria","Si","Fabricación de prendas de vestir","Entre 1 y 5 años","(39,48]","No asalariado",342.659458711158,207600
"244","4810251-1-3","4810251 - 1","66","Femenino","(26,59]","Otros parientes","Soltero","Superior o universitaria","Si","Otras actividades empresariales","Menos de 1 año","(48,130]","No asalariado",342.659458711158,103800
"245","4810309-1-1","4810309 - 1","68","Femenino","(26,59]","Jefe de hogar","Casado y/o union libre","Superior o universitaria","Si","Otras actividades empresariales","Menos de 1 año","(39,48]","Asalariado",418.747212506716,934200
"246","4810309-1-2","4810309 - 1","68","Masculino","(26,59]","Nucleo familiar","Casado y/o union libre","Básica secundaria","Si","Fabricación de muebles / industrias manufactureras","Menos de 1 año","(48,130]","No asalariado",418.747212506716,498240
"247","4810320-1-1","4810320 - 1","68","Masculino","(26,59]","Jefe de hogar","Casado y/o union libre","Media (10o -13o)","Si","Actividades culturales y deportivas","Menos de 1 año","(39,48]","No asalariado",449.466993507907,1307880
"248","4810320-1-2","4810320 - 1","68","Femenino","(26,59]","Nucleo familiar","Casado y/o union libre","Media (10o -13o)","Si","Actividades culturales y deportivas","Menos de 1 año","(0,39]","No asalariado",449.466993507907,1038000
"249","4810322-1-1","4810322 - 1","68","Femenino","(18,26]","Jefe de hogar","Casado y/o union libre","Media (10o -13o)","Si","Hoteles, restaurantes, bares y similares","Menos de 1 año","(48,130]","No asalariado",480.55080097323,363300
"250","4810322-1-2","4810322 - 1","68","Masculino","(18,26]","Nucleo familiar","Casado y/o union libre","Media (10o -13o)","Si","Agricultura, ganadería y caza","Menos de 1 año","(39,48]","No asalariado",480.55080097323,415200
"251","4810325-1-1","4810325 - 1","68","Masculino","(18,26]","Jefe de hogar","Casado y/o union libre","Básica secundaria","Si","Comercio al por mayor y al por menor","Menos de 1 año","(48,130]","No asalariado",422.690196167924,934200
"252","4810325-1-6","4810325 - 1","68","Masculino","(18,26]","Otros No parientes","Soltero","Media (10o -13o)","Si","Comercio al por mayor y al por menor","Entre 1 y 5 años","(48,130]","No asalariado",422.690196167924,1038000
"253","4810328-1-1","4810328 - 1","68","Femenino","(18,26]","Jefe de hogar","Soltero","Media (10o -13o)","Si","Otras actividades de servicios","Menos de 1 año","(48,130]","Asalariado",425.399658554046,622800
"254","4810343-1-1","4810343 - 1","68","Femenino","(26,59]","Jefe de hogar","Separado y/o viudo","Superior o universitaria","Si","Curtido y preparado de cueros, trabajar con cuero","Entre 1 y 5 años","(39,48]","Asalariado",334.240432883896,415200
"255","4810343-1-5","4810343 - 1","68","Masculino","(26,59]","Otros parientes","Casado y/o union libre","Media (10o -13o)","Si","Hoteles, restaurantes, bares y similares","Menos de 1 año","(48,130]","No asalariado",334.240432883896,467100
"256","4810359-1-1","4810359 - 1","70","Masculino","(26,59]","Jefe de hogar","Casado y/o union libre","Superior o universitaria","Si","Construcción","Entre 1 y 5 años","(39,48]","No asalariado",232.376087014073,103800
"257","4810359-1-2","4810359 - 1","70","Masculino","(26,59]","Nucleo familiar","Separado y/o viudo","Superior o universitaria","Si","Comercio al por mayor y al por menor","Entre 1 y 5 años","(39,48]","Asalariado",232.376087014073,519000
"258","4810373-1-1","4810373 - 1","73","Femenino","(26,59]","Jefe de hogar","Separado y/o viudo","Media (10o -13o)","Si","Hoteles, restaurantes, bares y similares","Entre 1 y 5 años","(48,130]","Asalariado",326.23968950532,934200
"259","4810452-1-1","4810452 - 1","76","Masculino","(26,59]","Jefe de hogar","Separado y/o viudo","Media (10o -13o)","Si","Comercio al por mayor y al por menor","Entre 1 y 5 años","(39,48]","No asalariado",1174.65381083118,539760
"260","4810569-1-5","4810569 - 1","5","Femenino","(26,59]","Otros parientes","Casado y/o union libre","Superior o universitaria","Si","Intermediación financiera","Menos de 1 año","(48,130]","Asalariado",892.611818048113,902492.214
"261","4810569-1-7","4810569 - 1","5","Femenino","(18,26]","Otros No parientes","Soltero","Superior o universitaria","Si","Intermediación financiera","Menos de 1 año","(39,48]","Asalariado",892.611818048113,902492.214
"262","4810592-1-2","4810592 - 1","5","Masculino","(26,59]","Nucleo familiar","Casado y/o union libre","Básica secundaria","Si","Construcción","Entre 1 y 5 años","(39,48]","No asalariado",1454.61150786433,363300
"263","4810592-1-5","4810592 - 1","5","Masculino","(26,59]","Otros parientes","Soltero","Media (10o -13o)","Si","Comercio al por mayor y al por menor","Entre 1 y 5 años","(48,130]","Asalariado",1454.61150786433,1349400
"264","4810640-1-4","4810640 - 1","8","Femenino","(26,59]","Otros No parientes","Separado y/o viudo","Básica secundaria","Si","Hogares privados con servicio doméstico","Entre 1 y 5 años","(39,48]","Asalariado",617.663270969705,207600
"265","4810652-1-3","4810652 - 1","8","Femenino","(18,26]","Otros No parientes","Separado y/o viudo","Media (10o -13o)","Si","Fabricación de instrumentos médicos // relojes","Entre 1 y 5 años","(39,48]","Asalariado",529.439516670941,249120
"266","4810668-1-1","4810668 - 1","8","Masculino","(26,59]","Jefe de hogar","Casado y/o union libre","Media (10o -13o)","Si","Comercio al por mayor y al por menor","Entre 1 y 5 años","(39,48]","No asalariado",642.646929440956,934200
"267","4810668-1-8","4810668 - 1","8","Masculino","(26,59]","Otros parientes","Separado y/o viudo","Básica primaria","Si","Comercio al por mayor y al por menor","Menos de 1 año","(48,130]","No asalariado",642.646929440956,415200
"268","4810690-1-1","4810690 - 1","8","Masculino","(26,59]","Jefe de hogar","Casado y/o union libre","Media (10o -13o)","Si","Comercio al por mayor y al por menor","Entre 1 y 5 años","(39,48]","No asalariado",555.156218084952,0
"269","4810690-1-2","4810690 - 1","8","Femenino","(26,59]","Nucleo familiar","Casado y/o union libre","Media (10o -13o)","Si","Otras actividades de servicios","Entre 1 y 5 años","(48,130]","Asalariado",555.156218084952,830400
"270","4810690-1-5","4810690 - 1","8","Masculino","(18,26]","Nucleo familiar","Soltero","Superior o universitaria","No","Actividades culturales y deportivas","Entre 1 y 5 años","(0,39]","Asalariado",555.156218084952,1557000
"271","4810699-1-3","4810699 - 1","8","Masculino","(26,59]","Nucleo familiar","Separado y/o viudo","Media (10o -13o)","Si","Elaboración de productos alimenticios","Entre 1 y 5 años","(39,48]","Asalariado",620.277163671555,415200
"272","4810699-1-11","4810699 - 1","8","Femenino","(18,26]","Otros parientes","Soltero","Media (10o -13o)","Si","Financiación de planes de seguros y pensiones","Entre 1 y 5 años","(48,130]","Asalariado",620.277163671555,921744
"273","4810699-1-13","4810699 - 1","8","Masculino","(14,18]","Otros parientes","Soltero","Media (10o -13o)","No","Elaboración de productos alimenticios","Entre 1 y 5 años","(48,130]","Asalariado",620.277163671555,498240
"274","4810699-1-14","4810699 - 1","8","Femenino","(26,59]","Otros parientes","Separado y/o viudo","Básica primaria","Si","Comercio al por mayor y al por menor","Entre 1 y 5 años","(0,39]","No asalariado",620.277163671555,62280
"275","4810699-1-15","4810699 - 1","8","Masculino","(26,59]","Otros parientes","Casado y/o union libre","Básica primaria","Si","Comercio al por mayor y al por menor","Menos de 1 año","(39,48]","No asalariado",620.277163671555,726600
"276","4810702-1-2","4810702 - 1","8","Masculino","(26,59]","Nucleo familiar","Casado y/o union libre","Media (10o -13o)","Si","Construcción","Entre 1 y 5 años","(39,48]","No asalariado",554.319082016955,415200
"277","4810703-1-4","4810703 - 1","8","Masculino","(26,59]","Otros No parientes","Casado y/o union libre","Superior o universitaria","Si","Comercio al por mayor y al por menor","Entre 1 y 5 años","(48,130]","Asalariado",519.659749135297,1141800
"278","4810739-2-1","4810739 - 2","8","Femenino","(26,59]","Jefe de hogar","Separado y/o viudo","Media (10o -13o)","Si","Correo y telecomunicaciones","Entre 1 y 5 años","(48,130]","Asalariado",534.711453650383,622800
"279","4810743-1-1","4810743 - 1","8","Masculino","(26,59]","Jefe de hogar","Casado y/o union libre","Básica secundaria","Si","Comercio al por mayor y al por menor","Entre 1 y 5 años","(48,130]","Asalariado",532.092983818383,788880
"280","4810744-1-1","4810744 - 1","8","Masculino","(26,59]","Jefe de hogar","Casado y/o union libre","Básica secundaria","Si","Transporte por vía terrestre; transporte por tuberías","Menos de 1 año","(48,130]","Asalariado",564.041944022034,519000
"281","4810744-1-2","4810744 - 1","8","Masculino","(18,26]","Otros parientes","Soltero","Media (10o -13o)","Si","Comercio al por mayor y al por menor","Menos de 1 año","(48,130]","Asalariado",564.041944022034,622800
"282","4810745-1-1","4810745 - 1","8","Femenino","(26,59]","Jefe de hogar","Separado y/o viudo","Superior o universitaria","Si","Correo y telecomunicaciones","Entre 1 y 5 años","(48,130]","No asalariado",525.661568127571,394440
"283","4810746-1-2","4810746 - 1","8","Masculino","(26,59]","Otros parientes","Casado y/o union libre","Media (10o -13o)","Si","Comercio al por mayor y al por menor","Menos de 1 año","(48,130]","No asalariado",558.420270206998,934200
"284","4810751-1-1","4810751 - 1","8","Masculino","(26,59]","Jefe de hogar","Casado y/o union libre","Básica primaria","No","Construcción","Entre 1 y 5 años","(48,130]","No asalariado",570.473359712845,207600
"285","4810751-1-2","4810751 - 1","8","Femenino","(26,59]","Nucleo familiar","Casado y/o union libre","Superior o universitaria","Si","Hoteles, restaurantes, bares y similares","Entre 1 y 5 años","(39,48]","No asalariado",570.473359712845,311400
"286","4810751-1-3","4810751 - 1","8","Masculino","(26,59]","Otros No parientes","Casado y/o union libre","Básica primaria","Si","Hoteles, restaurantes, bares y similares","Entre 1 y 5 años","(39,48]","No asalariado",570.473359712845,311400
"287","4810795-1-2","4810795 - 1","11","Masculino","(26,59]","Nucleo familiar","Casado y/o union libre","Superior o universitaria","Si","Construcción","Mas de 5 años","(0,39]","No asalariado",3090.51626601353,15570000
"288","4810795-1-4","4810795 - 1","11","Femenino","(26,59]","Otros No parientes","Soltero","Superior o universitaria","Si","Construcción","Menos de 1 año","(48,130]","Asalariado",3090.51626601353,4152000
"289","4810832-1-1","4810832 - 1","11","Masculino","(26,59]","Jefe de hogar","Separado y/o viudo","Básica secundaria","Si","Fabricación de maquinaria y equipo ncp","Entre 1 y 5 años","(48,130]","Asalariado",3071.40086679262,1544763.018
"290","4810846-1-2","4810846 - 1","11","Masculino","(18,26]","Nucleo familiar","Soltero","Media (10o -13o)","Si","Elaboración de productos alimenticios","Menos de 1 año","(39,48]","No asalariado",2886.20222450519,812754
"291","4810846-1-5","4810846 - 1","11","Masculino","(18,26]","Otros parientes","Casado y/o union libre","Media (10o -13o)","No","Comercio al por mayor y al por menor","Menos de 1 año","(48,130]","Asalariado",2886.20222450519,934200
"292","4811008-1-1","4811008 - 1","13","Masculino","(18,26]","Jefe de hogar","Casado y/o union libre","Básica primaria","Si","Transporte por vía terrestre; transporte por tuberías","Entre 1 y 5 años","(48,130]","No asalariado",317.520798892525,830400
"293","4811010-1-1","4811010 - 1","13","Masculino","(26,59]","Jefe de hogar","Casado y/o union libre","Media (10o -13o)","Si","Transporte por vía terrestre; transporte por tuberías","Menos de 1 año","(48,130]","No asalariado",343.226939351169,726600
"294","4811013-1-1","4811013 - 1","13","Masculino","(18,26]","Jefe de hogar","Casado y/o union libre","Media (10o -13o)","Si","Hoteles, restaurantes, bares y similares","Menos de 1 año","(39,48]","No asalariado",294.909035800156,622800
"295","4811013-1-2","4811013 - 1","13","Femenino","(18,26]","Nucleo familiar","Casado y/o union libre","Media (10o -13o)","No","Otras actividades empresariales","Menos de 1 año","(0,39]","No asalariado",294.909035800156,311400
"296","4811021-1-1","4811021 - 1","13","Femenino","(26,59]","Jefe de hogar","Separado y/o viudo","Básica secundaria","Si","Otras actividades de servicios","Menos de 1 año","(39,48]","No asalariado",258.733772927014,415200
"297","4811045-1-2","4811045 - 1","13","Femenino","(26,59]","Nucleo familiar","Casado y/o union libre","Media (10o -13o)","Si","Hoteles, restaurantes, bares y similares","Entre 1 y 5 años","(0,39]","No asalariado",657.123849704539,467100
"298","4811048-1-1","4811048 - 1","13","Masculino","(26,59]","Jefe de hogar","Casado y/o union libre","Media (10o -13o)","Si","Comercio al por mayor y al por menor","Menos de 1 año","(39,48]","No asalariado",651.81645060157,830400
"299","4811048-1-4","4811048 - 1","13","Masculino","(26,59]","Otros parientes","Casado y/o union libre","Media (10o -13o)","Si","Comercio al por mayor y al por menor","Menos de 1 año","(39,48]","No asalariado",651.81645060157,830400
"300","4811146-1-1","4811146 - 1","17","Femenino","(26,59]","Jefe de hogar","Casado y/o union libre","Superior o universitaria","Si","Otras actividades empresariales","Entre 1 y 5 años","(39,48]","Asalariado",146.087194332957,902492.214
"301","4811146-1-2","4811146 - 1","17","Femenino","(18,26]","Otros No parientes","Casado y/o union libre","Superior o universitaria","Si","Comercio al por mayor y al por menor","Entre 1 y 5 años","(48,130]","Asalariado",146.087194332957,810929.196
"302","4811228-1-1","4811228 - 1","18","Masculino","(18,26]","Jefe de hogar","Soltero","Superior o universitaria","Si","Comercio al por mayor y al por menor","Entre 1 y 5 años","(39,48]","Asalariado",113.636635562552,921744
"303","4811228-1-2","4811228 - 1","18","Masculino","(18,26]","Otros parientes","Soltero","Media (10o -13o)","Si","Comercio al por mayor y al por menor","Entre 1 y 5 años","(39,48]","Asalariado",113.636635562552,921744
"304","4811342-1-1","4811342 - 1","20","Masculino","(26,59]","Jefe de hogar","Casado y/o union libre","Básica secundaria","Si","Comercio al por mayor y al por menor","Entre 1 y 5 años","(48,130]","Asalariado",222.341006789323,778500
"305","4811353-1-2","4811353 - 1","20","Femenino","(26,59]","Nucleo familiar","Casado y/o union libre","Media (10o -13o)","Si","Hogares privados con servicio doméstico","Entre 1 y 5 años","(39,48]","Asalariado",185.107279794269,415200
"306","4811407-1-1","4811407 - 1","20","Masculino","(18,26]","Jefe de hogar","Soltero","Superior o universitaria","Si","Otras actividades empresariales","Entre 1 y 5 años","(39,48]","Asalariado",199.052083729489,830400
"307","4811443-1-4","4811443 - 1","23","Femenino","(18,26]","Nucleo familiar","Casado y/o union libre","Media (10o -13o)","Si","Elaboración de productos alimenticios","Entre 1 y 5 años","(48,130]","Asalariado",155.628243452191,415200
"308","4811734-1-1","4811734 - 1","44","Femenino","(26,59]","Jefe de hogar","Separado y/o viudo","Básica primaria","Si","Hogares privados con servicio doméstico","Entre 1 y 5 años","(39,48]","Asalariado",139.183616252958,394440
"309","4811734-1-2","4811734 - 1","44","Masculino","(14,18]","Nucleo familiar","Soltero","Básica secundaria","No","Comercio al por mayor y al por menor","Entre 1 y 5 años","(48,130]","No asalariado",139.183616252958,311400
"310","4811734-1-6","4811734 - 1","44","Masculino","(18,26]","Nucleo familiar","Casado y/o union libre","Básica primaria","Si","Comercio al por mayor y al por menor","Entre 1 y 5 años","(48,130]","No asalariado",139.183616252958,207600
"311","4811735-1-1","4811735 - 1","44","Masculino","(18,26]","Jefe de hogar","Casado y/o union libre","Básica secundaria","Si","Transporte por vía terrestre; transporte por tuberías","Menos de 1 año","(48,130]","No asalariado",194.354870193252,415200
"312","4811744-1-1","4811744 - 1","44","Femenino","(26,59]","Jefe de hogar","Soltero","Media (10o -13o)","Si","Hoteles, restaurantes, bares y similares","Entre 1 y 5 años","(48,130]","No asalariado",125.230455060262,570900
"313","4811778-1-1","4811778 - 1","44","Femenino","(26,59]","Jefe de hogar","Separado y/o viudo","Básica secundaria","Si","Hoteles, restaurantes, bares y similares","Entre 1 y 5 años","(39,48]","Asalariado",111.433251026913,415200
"314","4811778-1-2","4811778 - 1","44","Masculino","(11,14]","Nucleo familiar","Soltero","Básica secundaria","No","Comercio al por mayor y al por menor","Entre 1 y 5 años","(48,130]","No asalariado",111.433251026913,311400
"315","4811778-1-3","4811778 - 1","44","Masculino","(18,26]","Nucleo familiar","Casado y/o union libre","Básica secundaria","Si","Hoteles, restaurantes, bares y similares","Entre 1 y 5 años","(39,48]","Asalariado",111.433251026913,373680
"316","4811778-1-4","4811778 - 1","44","Femenino","(26,59]","Otros No parientes","Casado y/o union libre","Básica primaria","Si","Hogares privados con servicio doméstico","Entre 1 y 5 años","(48,130]","Asalariado",111.433251026913,311400
"317","4811778-1-5","4811778 - 1","44","Masculino","(11,14]","Otros parientes","Soltero","Ninguno/No_sabe","Si","Comercio al por mayor y al por menor","Entre 1 y 5 años","(48,130]","No asalariado",111.433251026913,155700
"318","4811812-1-1","4811812 - 1","44","Masculino","(26,59]","Jefe de hogar","Casado y/o union libre","Superior o universitaria","No","Construcción","Entre 1 y 5 años","(39,48]","No asalariado",83.1711198155769,622800
"319","4811812-1-2","4811812 - 1","44","Femenino","(18,26]","Nucleo familiar","Casado y/o union libre","Básica secundaria","Si","Comercio al por mayor y al por menor","Menos de 1 año","(48,130]","No asalariado",83.1711198155769,155700
"320","4811860-1-1","4811860 - 1","47","Masculino","(18,26]","Jefe de hogar","Casado y/o union libre","Básica secundaria","Si","Hoteles, restaurantes, bares y similares","Entre 1 y 5 años","(48,130]","Asalariado",364.651328281224,1104432
"321","4811860-1-4","4811860 - 1","47","Femenino","(26,59]","Otros parientes","Separado y/o viudo","Básica secundaria","Si","Hoteles, restaurantes, bares y similares","Menos de 1 año","(39,48]","Asalariado",364.651328281224,622800
"322","4811861-1-1","4811861 - 1","47","Masculino","(18,26]","Jefe de hogar","Casado y/o union libre","Superior o universitaria","Si","Comercio al por mayor y al por menor","Entre 1 y 5 años","(48,130]","Asalariado",570.578333860109,726600
"323","4811861-1-2","4811861 - 1","47","Femenino","(14,18]","Nucleo familiar","Casado y/o union libre","Media (10o -13o)","No","Hoteles, restaurantes, bares y similares","Menos de 1 año","(0,39]","Asalariado",570.578333860109,311400
"324","4811872-1-1","4811872 - 1","47","Masculino","(26,59]","Jefe de hogar","Casado y/o union libre","Media (10o -13o)","Si","Comercio al por mayor y al por menor","Entre 1 y 5 años","(48,130]","No asalariado",591.319781542254,467100
"325","4811917-1-1","4811917 - 1","50","Masculino","(18,26]","Jefe de hogar","Casado y/o union libre","Media (10o -13o)","Si","Comercio al por mayor y al por menor","Menos de 1 año","(48,130]","No asalariado",167.328815992857,622800
"326","4811917-1-3","4811917 - 1","50","Masculino","(26,59]","Otros parientes","Separado y/o viudo","Media (10o -13o)","Si","Comercio al por mayor y al por menor","Menos de 1 año","(48,130]","Asalariado",167.328815992857,778500
"327","4811917-1-4","4811917 - 1","50","Masculino","(18,26]","Otros parientes","Soltero","Media (10o -13o)","Si","Comercio al por mayor y al por menor","Menos de 1 año","(48,130]","No asalariado",167.328815992857,519000
"328","4811917-1-5","4811917 - 1","50","Masculino","(18,26]","Otros No parientes","Soltero","Media (10o -13o)","Si","Comercio al por mayor y al por menor","Menos de 1 año","(48,130]","No asalariado",167.328815992857,622800
"329","4812068-1-4","4812068 - 1","54","Masculino","(18,26]","Otros No parientes","Soltero","Media (10o -13o)","Si","Comercio al por mayor y al por menor","Menos de 1 año","(48,130]","No asalariado",511.385190327781,415200
"330","4812094-1-1","4812094 - 1","54","Masculino","(26,59]","Jefe de hogar","Casado y/o union libre","Media (10o -13o)","Si","Transporte por vía terrestre; transporte por tuberías","Entre 1 y 5 años","(48,130]","No asalariado",391.789018333436,809640
"331","4812121-1-1","4812121 - 1","66","Masculino","(26,59]","Jefe de hogar","Casado y/o union libre","Básica secundaria","Si","Comercio al por mayor y al por menor","Entre 1 y 5 años","(48,130]","No asalariado",297.453945613842,1038000
"332","4812156-1-1","4812156 - 1","68","Femenino","(18,26]","Jefe de hogar","Casado y/o union libre","Básica secundaria","No","Otras actividades de servicios","Menos de 1 año","(39,48]","No asalariado",252.312493124729,415200
"333","4812156-1-4","4812156 - 1","68","Femenino","(26,59]","Otros parientes","Separado y/o viudo","Media (10o -13o)","No","Comercio al por mayor y al por menor","Entre 1 y 5 años","(48,130]","No asalariado",252.312493124729,2076000
"334","4812182-1-1","4812182 - 1","68","Masculino","(18,26]","Jefe de hogar","Soltero","Media (10o -13o)","Si","Hoteles, restaurantes, bares y similares","Entre 1 y 5 años","(48,130]","Asalariado",446.727734806098,467100
"335","4812182-1-2","4812182 - 1","68","Femenino","(18,26]","Otros parientes","Soltero","Media (10o -13o)","Si","Otras actividades de servicios","Entre 1 y 5 años","(48,130]","No asalariado",446.727734806098,519000
"336","4812185-1-1","4812185 - 1","68","Masculino","(26,59]","Jefe de hogar","Casado y/o union libre","Media (10o -13o)","Si","Hoteles, restaurantes, bares y similares","Entre 1 y 5 años","(48,130]","Asalariado",499.539773309895,778500
"337","4812186-1-2","4812186 - 1","68","Masculino","(18,26]","Nucleo familiar","Casado y/o union libre","Superior o universitaria","Si","Hoteles, restaurantes, bares y similares","Entre 1 y 5 años","(48,130]","Asalariado",449.466993507907,810885.6
"338","4812247-1-1","4812247 - 1","70","Masculino","(59,100]","Jefe de hogar","Casado y/o union libre","Básica primaria","Si","Agricultura, ganadería y caza","Entre 1 y 5 años","(39,48]","No asalariado",76.8015828801001,0
"339","4812247-1-2","4812247 - 1","70","Femenino","(59,100]","Nucleo familiar","Casado y/o union libre","Básica primaria","Si","Comercio al por mayor y al por menor","Entre 1 y 5 años","(39,48]","No asalariado",76.8015828801001,60463.5
"340","4812262-1-1","4812262 - 1","70","Masculino","(26,59]","Jefe de hogar","Casado y/o union libre","Media (10o -13o)","Si","Comercio al por mayor y al por menor","Entre 1 y 5 años","(48,130]","No asalariado",111.944847614222,467100
"341","4812262-1-2","4812262 - 1","70","Femenino","(26,59]","Nucleo familiar","Casado y/o union libre","Superior o universitaria","Si","Comercio al por mayor y al por menor","Entre 1 y 5 años","(48,130]","No asalariado",111.944847614222,467100
"342","4812262-1-9","4812262 - 1","70","Femenino","(14,18]","Otros parientes","Soltero","Media (10o -13o)","No","Hogares privados con servicio doméstico","Menos de 1 año","(39,48]","Asalariado",111.944847614222,259500
"343","4812270-1-5","4812270 - 1","70","Femenino","(18,26]","Otros No parientes","Separado y/o viudo","Media (10o -13o)","Si","Hogares privados con servicio doméstico","Menos de 1 año","(39,48]","Asalariado",222.820767366136,467100
"344","4812274-1-1","4812274 - 1","70","Masculino","(26,59]","Jefe de hogar","Casado y/o union libre","Media (10o -13o)","Si","Transporte por vía terrestre; transporte por tuberías","Mas de 5 años","(39,48]","No asalariado",95.3648149599344,830400
"345","4812288-1-5","4812288 - 1","70","Masculino","(26,59]","Otros parientes","Casado y/o union libre","Básica secundaria","Si","Construcción","Menos de 1 año","(48,130]","Asalariado",112.005658370647,830400
"346","4812291-1-5","4812291 - 1","70","Femenino","(26,59]","Otros parientes","Separado y/o viudo","Básica primaria","Si","Hogares privados con servicio doméstico","Entre 1 y 5 años","(39,48]","Asalariado",78.188869264231,363300
"347","4812309-1-1","4812309 - 1","70","Femenino","(26,59]","Jefe de hogar","Separado y/o viudo","Básica primaria","Si","Otras actividades empresariales","Entre 1 y 5 años","(39,48]","No asalariado",94.0008691008311,311400
"348","4812367-1-2","4812367 - 1","76","Masculino","(26,59]","Otros No parientes","Casado y/o union libre","Media (10o -13o)","Si","Construcción","Menos de 1 año","(48,130]","Asalariado",1293.78041962377,1214460
"349","4812406-1-1","4812406 - 1","76","Masculino","(26,59]","Jefe de hogar","Casado y/o union libre","Básica primaria","Si","Comercio al por mayor y al por menor","Entre 1 y 5 años","(48,130]","Asalariado",1183.52252464335,830400
"350","4812700-1-1","4812700 - 1","23","Masculino","(26,59]","Jefe de hogar","Soltero","Media (10o -13o)","Si","Comercio al por mayor y al por menor","Entre 1 y 5 años","(39,48]","Asalariado",2786.90953480464,830400
"351","4812733-1-8","4812733 - 1","23","Masculino","(18,26]","Otros parientes","Soltero","Básica primaria","Si","Comercio al por mayor y al por menor","Entre 1 y 5 años","(48,130]","Asalariado",3500.70626937239,467100
"352","4812902-1-1","4812902 - 1","15","Masculino","(26,59]","Jefe de hogar","Casado y/o union libre","Superior o universitaria","Si","Servicios sociales y de salud","Entre 1 y 5 años","(39,48]","Asalariado",134.507572266589,1038000
"353","4812904-1-1","4812904 - 1","15","Masculino","(18,26]","Jefe de hogar","Casado y/o union libre","Superior o universitaria","Si","Comercio al por mayor y al por menor","Entre 1 y 5 años","(48,130]","No asalariado",126.871838878576,311400
"354","4812904-1-2","4812904 - 1","15","Femenino","(18,26]","Nucleo familiar","Casado y/o union libre","Media (10o -13o)","Si","Comercio al por mayor y al por menor","Entre 1 y 5 años","(48,130]","No asalariado",126.871838878576,311400
"355","4812910-1-1","4812910 - 1","15","Masculino","(26,59]","Jefe de hogar","Soltero","Superior o universitaria","Si","Hoteles, restaurantes, bares y similares","Entre 1 y 5 años","(48,130]","No asalariado",217.70677424367,519000
"356","4812910-1-2","4812910 - 1","15","Masculino","(26,59]","Otros parientes","Casado y/o union libre","Media (10o -13o)","Si","Elaboración de productos alimenticios","Entre 1 y 5 años","(48,130]","No asalariado",217.70677424367,830400
